Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.299786
FDW14,OUT017,1435.9121343749994
NCN55,OUT010,584.7577647727275
FDQ58,OUT017,2649.110232432434
FDY38,OUT027,6280.890880000003
FDH56,OUT046,1922.1493817142864
FDL48,OUT018,713.8586545454549
FDC48,OUT027,2517.8820884848483
FDN33,OUT045,1879.2570116129027
FDA36,OUT017,2752.970934653465
FDT44,OUT017,1922.1493817142864
FDQ56,OUT045,1435.9121343749994
NCC54,OUT019,584.7577647727275
FDU11,OUT049,2142.7435709401716
DRL59,OUT013,713.8586545454549
FDM24,OUT049,2286.41326736842
FDI57,OUT045,3130.0049049504946
DRC12,OUT018,2893.8398258992793
NCM42,OUT027,3242.0620715328473
FDA46,OUT010,482.69954262295073
FDA31,OUT013,2778.5893175257734
NCJ31,OUT035,3737.2957751824806
FDG52,OUT046,798.2176035398229
NCL19,OUT019,281.4820818181818
FDS10,OUT035,3384.1080642424236
FDX22,OUT010,584.7577647727275
NCF19,OUT035,798.2176035398229
NCE06,OUT046,2503.5013364485985
DRC27,OUT046,3643.5197259842535
FDE21,OUT035,1922.1493817142864
NCR42,OUT019,92.67548155339804
FDX51,OUT018,2893.8398258992793
NCR06,OUT018,507.04640366972467
FDU31,OUT027,5329.314724444443
FDU59,OUT017,2503.5013364485985
FDR03,OUT027,5329.314724444443
FDS49,OUT027,2517.8820884848483
FDD48,OUT010,281.4820818181818
NCF18,OUT017,2939.3484761904747
NCD43,OUT027,2517.8820884848483
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.4820818181818
NCY54,OUT017,2778.5893175257734
NCL19,OUT018,2232.847021848739
FDP23,OUT010,584.7577647727275
FDC26,OUT013,1649.299786
FDR14,OUT010,165.91858165137612
NCS41,OUT035,3384.1080642424236
FDF41,OUT035,3737.2957751824806
FDU34,OUT046,1987.251048648648
DRH11,OUT046,935.0323883040937
FDM03,OUT013,1461.8437960000008
FDS31,OUT017,3384.1080642424236
FDJ20,OUT017,2142.7435709401716
FDV44,OUT027,5329.314724444443
FDG02,OUT049,2752.970934653465
FDA09,OUT013,3259.5620849056604
FDT04,OUT013,507.04640366972467
FDL58,OUT019,584.7577647727275
FDE52,OUT045,1435.9121343749994
FDW12,OUT035,2286.41326736842
FDL51,OUT017,3643.5197259842535
NCY42,OUT027,3242.0620715328473
FDR07,OUT017,1573.0706258064515
FDN40,OUT045,2286.41326736842
FDB35,OUT027,2517.8820884848483
FDA22,OUT017,2286.41326736842
NCL06,OUT046,4034.3003068965513
FDI35,OUT013,3384.1080642424236
NCW42,OUT045,4340.218358415842
NCX06,OUT049,2778.5893175257734
FDC37,OUT027,2517.8820884848483
FDZ14,OUT018,1752.2524400000002
DRG49,OUT049,3454.0625591549287
NCG06,OUT045,4034.3003068965513
DRC36,OUT045,3259.5620849056604
FDV21,OUT019,281.4820818181818
FDB53,OUT046,3053.0998777777777
DRP47,OUT019,584.7577647727275
FDA14,OUT013,3053.0998777777777
DRC24,OUT035,2644.4778427083324
FDW21,OUT018,1372.688490740741
NCH29,OUT046,1682.2122382352934
FDU58,OUT013,2893.8398258992793
FDY27,OUT017,2552.0052351851864
FDV56,OUT035,1682.2122382352934
FDT59,OUT046,3945.4325672131167
FDB23,OUT046,3945.4325672131167
FDR49,OUT045,798.2176035398229
FDB03,OUT010,584.7577647727275
FDN39,OUT045,2453.7477006993017
FDX02,OUT027,5329.314724444443
FDQ16,OUT027,2517.8820884848483
FDU35,OUT018,1372.688490740741
NCT29,OUT013,1987.251048648648
FDZ27,OUT046,798.2176035398229
FDN57,OUT017,2309.2007980000003
FDA03,OUT018,2232.847021848739
FDZ36,OUT045,3384.1080642424236
NCU05,OUT013,1284.7897668711655
FDT39,OUT018,2232.847021848739
FDK60,OUT017,1461.8437960000008
FDZ25,OUT017,3053.0998777777777
FDG12,OUT046,2243.6695967213113
DRB01,OUT019,482.69954262295073
NCC43,OUT027,6280.890880000003
FDX13,OUT019,584.7577647727275
FDM22,OUT049,796.6402682539683
FDJ03,OUT027,1378.263185276074
