Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1852.9996263631838
FDW14,OUT017,1579.6253027776638
NCN55,OUT010,1888.446600913769
FDQ58,OUT017,2609.313727236632
FDY38,OUT027,5179.228541181561
FDH56,OUT046,1915.7034715959362
FDL48,OUT018,596.7354505402241
FDC48,OUT027,2777.828943913419
FDN33,OUT045,1510.366287529721
FDA36,OUT017,3079.223224562996
FDT44,OUT017,1997.2632212322883
FDQ56,OUT045,1306.660900970247
NCC54,OUT019,1849.4183804332833
FDU11,OUT049,2045.7043562679269
DRL59,OUT013,888.7774636643583
FDM24,OUT049,2558.8073894987165
FDI57,OUT045,3088.6609293877636
DRC12,OUT018,2764.927186983647
NCM42,OUT027,3192.411771677661
FDA46,OUT010,1133.6542605248783
FDA31,OUT013,2798.8125418091417
NCJ31,OUT035,3878.4109985973223
FDG52,OUT046,803.8870760581871
NCL19,OUT019,376.0172497194542
FDS10,OUT035,3027.56626773381
FDX22,OUT010,1448.806560423086
NCF19,OUT035,915.0755485850154
NCE06,OUT046,2527.742930338446
DRC27,OUT046,3843.227970173734
FDE21,OUT035,2025.2862599915115
NCR42,OUT019,-1357.7069058385548
FDX51,OUT018,2863.2151448363934
NCR06,OUT018,429.35093945817107
FDU31,OUT027,4940.21676187646
FDU59,OUT017,2712.2801757998045
FDR03,OUT027,4767.6866651853925
FDS49,OUT027,2760.725986472522
FDD48,OUT010,-73.36090656101055
NCF18,OUT017,3110.8336405874834
NCD43,OUT027,3099.6340365174283
NCD54,OUT018,1989.8563495209619
FDY19,OUT010,-36.06339587892762
NCY54,OUT017,2810.9080571543527
NCL19,OUT018,2023.2093677862854
FDP23,OUT010,1533.616604358515
FDC26,OUT013,1817.9674511372002
FDR14,OUT010,-1040.094009891631
NCS41,OUT035,3035.7207024356458
FDF41,OUT035,4041.7847475786034
FDU34,OUT046,2002.5747895507793
DRH11,OUT046,919.7377052008717
FDM03,OUT013,1764.052229969817
FDS31,OUT017,3048.9414520991154
FDJ20,OUT017,2092.0319993555836
FDV44,OUT027,4494.507284749439
FDG02,OUT049,3102.747648811826
FDA09,OUT013,2910.723655975796
FDT04,OUT013,690.7840585876121
FDL58,OUT019,2294.266179405712
FDE52,OUT045,1455.757348869854
FDW12,OUT035,2503.71109388898
FDL51,OUT017,3549.1249498970155
NCY42,OUT027,3687.339329815459
FDR07,OUT017,1658.6860659530885
FDN40,OUT045,2374.408535265022
FDB35,OUT027,2949.7656335164447
FDA22,OUT017,2742.240548930587
NCL06,OUT046,4110.960229322827
FDI35,OUT013,2917.449486934725
NCW42,OUT045,3411.8113769746415
NCX06,OUT049,2934.6577965673437
FDC37,OUT027,3192.9728829592823
FDZ14,OUT018,1727.67824350772
DRG49,OUT049,3947.4228777248513
NCG06,OUT045,3959.977523651072
DRC36,OUT045,2721.4826507172643
FDV21,OUT019,61.84345548916565
FDB53,OUT046,2359.1871189213284
DRP47,OUT019,2042.039993784023
FDA14,OUT013,2352.9542704013124
DRC24,OUT035,2568.0142576781
FDW21,OUT018,1414.230735696997
NCH29,OUT046,1556.3664567155197
FDU58,OUT013,3079.4614083115584
FDY27,OUT017,2946.1383289119267
FDV56,OUT035,1948.6696161737186
FDT59,OUT046,3656.4986980289605
FDB23,OUT046,3621.7863019709725
FDR49,OUT045,698.2293255207435
FDB03,OUT010,1908.5640273229264
FDN39,OUT045,2617.748963672791
FDX02,OUT027,4985.386547931816
FDQ16,OUT027,3188.6206772988235
FDU35,OUT018,1341.9136361211504
NCT29,OUT013,1957.4402211813413
FDZ27,OUT046,830.1602370792888
FDN57,OUT017,2345.9125066000825
FDA03,OUT018,2099.1734614197576
FDZ36,OUT045,2920.139170235889
NCU05,OUT013,1322.226973711108
FDT39,OUT018,2179.9642027282166
FDK60,OUT017,1722.706799739271
FDZ25,OUT017,2857.6772160288974
FDG12,OUT046,2037.0365417758444
DRB01,OUT019,1127.0823415153109
NCC43,OUT027,5377.826340261954
FDX13,OUT019,2035.6506729073512
FDM22,OUT049,1028.1974819986563
FDJ03,OUT027,2306.3592630393696
FDU14,OUT018,3678.0507022082534
FDB33,OUT010,624.7853673560552
FDP27,OUT046,3005.2855126936756
FDO38,OUT010,-669.671801659538
FDE28,OUT027,5152.788044275656
FDO27,OUT035,1701.4368266255337
DRL23,OUT027,3166.741731017828
FDS28,OUT046,963.0151564768157
FDX24,OUT013,1547.7067224619118
