Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1875.4860427560236
FDW14,OUT017,1591.7612740786328
NCN55,OUT010,1822.672658617004
FDQ58,OUT017,2546.3629591573954
FDY38,OUT027,5087.605400109229
FDH56,OUT046,1942.6371302122495
FDL48,OUT018,680.8000272442425
FDC48,OUT027,2806.0427441358897
FDN33,OUT045,1541.247755806772
FDA36,OUT017,3051.6757355410955
FDT44,OUT017,2004.9816551032457
FDQ56,OUT045,1358.1533406290985
NCC54,OUT019,1819.7081624356483
FDU11,OUT049,2076.750193350651
DRL59,OUT013,963.7365800429798
FDM24,OUT049,2541.571606499629
FDI57,OUT045,3047.575103091969
DRC12,OUT018,2726.590331793126
NCM42,OUT027,3196.3220820943397
FDA46,OUT010,1129.086593209292
FDA31,OUT013,2782.8531016284605
NCJ31,OUT035,3802.6708588839997
FDG52,OUT046,863.6967323629376
NCL19,OUT019,383.67497397229647
FDS10,OUT035,2986.40407031318
FDX22,OUT010,1453.270064260274
NCF19,OUT035,998.5313152811395
NCE06,OUT046,2519.8296088661195
DRC27,OUT046,3768.6660667896863
FDE21,OUT035,2044.9750562281506
NCR42,OUT019,-1251.1341145471413
FDX51,OUT018,2840.7076836527967
NCR06,OUT018,510.71347688105095
FDU31,OUT027,4872.661618212023
FDU59,OUT017,2684.9378118546256
FDR03,OUT027,4667.8551828367545
FDS49,OUT027,2769.55214470211
FDD48,OUT010,-11.74285333776163
NCF18,OUT017,3083.5092213649104
NCD43,OUT027,3104.414085400252
NCD54,OUT018,2007.8274969877752
FDY19,OUT010,23.568113246545977
NCY54,OUT017,2783.2415589678108
NCL19,OUT018,2023.5214175263477
FDP23,OUT010,1509.3653428274188
FDC26,OUT013,1848.5794920752435
FDR14,OUT010,-931.0749455928535
NCS41,OUT035,2986.619667600747
FDF41,OUT035,3971.336466450321
FDU34,OUT046,2004.5683173135988
DRH11,OUT046,984.1695289641884
FDM03,OUT013,1734.3034064058777
FDS31,OUT017,2964.893326909251
FDJ20,OUT017,2116.7529678965657
FDV44,OUT027,4427.78480896208
FDG02,OUT049,3080.328271401882
FDA09,OUT013,2877.9901004558046
FDT04,OUT013,743.8136889644135
FDL58,OUT019,2224.4305199227956
FDE52,OUT045,1472.2979119940549
FDW12,OUT035,2500.3276177548
FDL51,OUT017,3499.17163175145
NCY42,OUT027,3669.3541994593015
FDR07,OUT017,1704.3865411049344
FDN40,OUT045,2341.9257898901224
FDB35,OUT027,2975.9387231789174
FDA22,OUT017,2708.401927647028
NCL06,OUT046,4020.0931885843816
FDI35,OUT013,2889.3869050858066
NCW42,OUT045,3358.986753706945
NCX06,OUT049,2926.340846616716
FDC37,OUT027,3208.3154817412405
FDZ14,OUT018,1759.3628553683413
DRG49,OUT049,3880.4720445096314
NCG06,OUT045,3875.8374405200043
DRC36,OUT045,2697.430348414642
FDV21,OUT019,89.20329367236627
FDB53,OUT046,2335.28360036281
DRP47,OUT019,1969.3600466199537
FDA14,OUT013,2346.3123118934714
DRC24,OUT035,2559.436840774869
FDW21,OUT018,1431.1415252561844
NCH29,OUT046,1574.1901419858752
FDU58,OUT013,3038.849954510205
FDY27,OUT017,2888.5866735281934
FDV56,OUT035,1978.635375325097
FDT59,OUT046,3588.219044516926
FDB23,OUT046,3557.519898156398
FDR49,OUT045,760.321798379874
FDB03,OUT010,1879.1002918477902
FDN39,OUT045,2601.0081164778544
FDX02,OUT027,4893.5394991141075
FDQ16,OUT027,3196.576480281021
FDU35,OUT018,1349.3325726460907
NCT29,OUT013,1985.4074128544569
FDZ27,OUT046,871.1855531616699
FDN57,OUT017,2352.025935043547
FDA03,OUT018,2095.943456367067
FDZ36,OUT045,2892.9101455455657
NCU05,OUT013,1378.5344023376726
FDT39,OUT018,2199.4632583522475
FDK60,OUT017,1722.7099429732368
FDZ25,OUT017,2809.5987327632406
FDG12,OUT046,1996.264166796808
DRB01,OUT019,1083.33578031196
NCC43,OUT027,5257.561572088323
FDX13,OUT019,1979.857354598283
FDM22,OUT049,1099.947086110488
FDJ03,OUT027,2354.4228412884304
FDU14,OUT018,3604.680000547861
FDB33,OUT010,672.5769401362737
FDP27,OUT046,2975.1934067615766
FDO38,OUT010,-582.7923496414343
FDE28,OUT027,5039.563589210016
FDO27,OUT035,1728.2847298513593
DRL23,OUT027,3168.9509894147495
FDS28,OUT046,1027.0683487085075
FDX24,OUT013,1576.8218839850072
FDZ02,OUT035,1784.0734724042359
FDL46,OUT045,1839.2554744810398
FDS60,OUT027,4250.409336238305
NCO06,OUT017,717.6465905641754
FDO16,OUT035,1575.6042405473027
FDC60,OUT049,1593.7200437221388
FDA48,OUT018,3143.385870077206
FDZ36,OUT027,4385.0284823986785
FDK27,OUT045,1908.4289842610212
FDW23,OUT018,471.6325537035448
FDM14,OUT018,1541.1823508090113
FDM14,OUT013,1815.3528147796872
FDW60,OUT018,2582.116252247469
FDE21,OUT013,1937.8367449367731
NCM42,OUT035,1909.6295631404073
FDY59,OUT010,-325.276642447806
DRI49,OUT049,1411.6164616201536
FDT28,OUT019,537.2071923218496
FDQ22,OUT018,492.4516104473248
FDR60,OUT049,1379.3844046079028
FDC50,OUT019,-340.2531082544424
FDV24,OUT013,2420.1696343514554
DRF48,OUT010,1114.8936484944256
FDQ47,OUT046,720.7024107545557
DRN36,OUT049,1683.4037250766814
NCY06,OUT035,2186.5456966803404
FDE52,OUT035,1667.7100348612548
NCB54,OUT045,1960.2734232898463
NCF31,OUT035,2544.246719333175
FDJ08,OUT027,4390.76265434792
NCC07,OUT017,1827.1444492907688
NCD19,OUT027,2337.0849311304037
FDL46,OUT049,2028.7564046335758
FDM20,OUT045,3747.487028898604
NCI06,OUT010,943.0398761002454
DRM11,OUT035,4122.364533017648
NCH07,OUT018,2216.5615376056476
FDS23,OUT013,2100.7278006301876
FDO49,OUT018,669.6110700121162
FDS35,OUT049,1217.2217140612684
DRK39,OUT045,1285.9726813735933
DRI39,OUT049,1099.978006582693
FDV04,OUT017,2624.863110966566
NCN14,OUT035,2975.483390659307
FDH08,OUT013,3643.5167154159763
FDS20,OUT046,2869.665523148345
FDV40,OUT049,1379.978454213616
FDZ48,OUT010,-86.89226142343966
FDS24,OUT027,2932.014853212059
FDK44,OUT049,2828.4979432217187
FDS48,OUT045,2339.1628031702326
FDK26,OUT010,1102.7134493698895
FDD23,OUT045,2937.0715590527207
NCH54,OUT017,2634.2183373391254
NCP14,OUT010,-188.76888283441218
FDM60,OUT010,-1102.8992058263434
FDV24,OUT017,2476.4049421632085
FDH08,OUT018,3307.193971473378
FDS12,OUT027,3456.900864195075
FDR39,OUT027,4257.419862283465
FDP12,OUT027,2172.1116928418505
DRF60,OUT027,5054.8400351898
FDC09,OUT035,1883.5086627079045
FDF50,OUT018,2792.6310969882393
FDG28,OUT035,3949.811552313781
NCE19,OUT017,1057.155358904008
NCM53,OUT010,-135.38119785417848
NCN18,OUT049,1869.172365792889
FDF32,OUT035,3238.100114202482
FDF11,OUT013,3794.3675501120706
DRI59,OUT049,3568.414316636821
NCG54,OUT035,2780.9423983464103
FDM44,OUT046,1678.2034344736805
FDT57,OUT018,3413.2142606190378
FDV24,OUT046,2369.635711729047
FDI50,OUT019,1710.7204506835283
FDS09,OUT035,1104.3527497603109
NCC31,OUT027,3861.4868349885746
FDQ07,OUT019,1570.356060077911
FDC22,OUT017,3127.28160646126
FDZ56,OUT046,2686.513497782121
FDZ40,OUT019,-886.7626110244149
FDS46,OUT027,3392.0789039432
DRD24,OUT045,2178.022593193438
FDV45,OUT017,3076.1107171873227
FDL26,OUT045,2402.3300001392604
FDA56,OUT018,1738.9110946749895
FDN27,OUT046,1901.2545117692046
FDM20,OUT049,3893.6092714590486
FDO16,OUT017,1507.217389871197
FDL03,OUT035,3249.545728230857
FDE58,OUT046,1865.621930293585
FDI02,OUT027,3275.7956275253146
NCC55,OUT019,-1192.377000544568
FDR03,OUT018,2987.901152054705
FDB14,OUT017,1662.16794603398
FDR45,OUT013,3772.579260204853
NCN07,OUT017,2178.6437601828306
FDM51,OUT019,-145.53768410605494
FDT52,OUT027,5264.676501721284
FDL26,OUT046,2437.143782847012
NCZ42,OUT046,3677.8689670361714
DRI47,OUT019,456.8521841976949
FDW40,OUT013,2322.4472749602064
FDN34,OUT046,2710.53607794842
FDS01,OUT035,2961.64901331318
NCG55,OUT045,1786.905871579136
FDC11,OUT035,1578.8896400684457
FDX35,OUT018,3287.552822041207
NCB06,OUT046,2504.7436220358873
FDR09,OUT019,2147.0068762252204
FDC53,OUT017,1723.1701314393001
FDY45,OUT013,3990.430446453027
FDA22,OUT010,754.8653210773706
FDE02,OUT035,1702.443749619094
FDW21,OUT045,1637.8254474510593
FDV34,OUT046,1307.5016795396907
FDS59,OUT049,1937.4107538080564
NCW17,OUT017,2147.712294950033
NCK54,OUT046,1804.4971605622106
FDG17,OUT019,1966.8955471256704
FDG35,OUT017,2883.718190013424
FDD08,OUT010,-1134.5765725347405
NCO07,OUT017,3381.1193548026713
FDJ10,OUT010,409.07438167931775
FDW36,OUT017,1811.79120107832
FDW21,OUT010,-104.46172867600933
FDY19,OUT017,2023.898162394771
DRE03,OUT013,889.3223243086389
NCC55,OUT049,786.1303113732868
FDH52,OUT010,-728.1369806091938
FDO09,OUT017,4203.267619634895
FDU43,OUT045,3686.9487312052215
FDX09,OUT010,883.5188100450079
FDH40,OUT019,-431.88709691309873
FDW58,OUT017,1823.7420261733266
FDC47,OUT017,3624.105850522047
NCR41,OUT035,1674.349254053236
DRG49,OUT035,3913.4476038662806
FDC52,OUT027,3894.603804957207
FDY13,OUT046,1276.96891887028
FDY35,OUT013,915.8285060569291
FDI35,OUT017,2960.636834925971
NCU18,OUT049,2342.6309631222525
FDY33,OUT018,2273.2012978670014
FDC15,OUT027,3895.3123898934905
FDU01,OUT049,3082.509728156461
NCU42,OUT046,2650.1568886481637
NCV29,OUT018,2512.732021311834
NCY30,OUT017,2959.982470997533
FDQ46,OUT049,1913.094580442664
FDG58,OUT027,3895.060673733049
FDK33,OUT017,3446.5487531721233
NCD07,OUT045,1756.6520651494645
NCX29,OUT027,3699.2616499273886
NCT42,OUT013,2382.283708216127
